Year,Accepted_Penalty_Count,Penalty_Yards,Team_Penalty_Count,Team_Penalty_Yards,wins,losses,win_loss_perc,points,points_opp,points_diff,g,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,score_pct,turnover_pct,exp_pts_tot,Superbowl Champion,Pass_yds_per_att,Rush_yds_per_att,total_tds,total_fds,Team_Atlanta Falcons,Team_Baltimore Ravens,Team_Buffalo Bills,Team_Carolina Panthers,Team_Chicago Bears,Team_Cincinnati Bengals,Team_Cleveland Browns,Team_Dallas Cowboys,Team_Denver Broncos,Team_Detroit Lions,Team_Green Bay Packers,Team_Houston Texans,Team_Indianapolis Colts,Team_Jacksonville Jaguars,Team_Kansas City Chiefs,Team_Las Vegas Raiders,Team_Los Angeles Chargers,Team_Los Angeles Rams,Team_Miami Dolphins,Team_Minnesota Vikings,Team_New England Patriots,Team_New Orleans Saints,Team_New York Giants,Team_New York Jets,Team_Philadelphia Eagles,Team_Pittsburgh Steelers,Team_San Francisco 49ers,Team_Seattle Seahawks,Team_Tampa Bay Buccaneers,Team_Tennessee Titans,Team_Washington Commanders
2013,207.0,1704.0,96.0,744.0,10,6,0.625,379,324,55,16,5542,1037,5.3,31,9,329,363,574,4002,24,22,6.5,205,422,1540,12,3.6,84,33.0,15.5,-5.74,0.0,6.97212543554007,3.6492890995260665,36,289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,221.0,1899.0,91.0,707.0,11,5,0.688,310,299,11,16,5116,993,5.2,17,5,302,320,568,3808,21,12,6.4,191,397,1308,6,3.3,67,30.9,9.4,-9.8,0.0,6.704225352112676,3.2947103274559195,27,258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,224.0,1965.0,94.0,763.0,13,3,0.813,489,313,176,16,6533,1041,6.3,24,11,373,353,562,4616,35,13,7.8,237,452,1917,16,4.2,92,42.5,11.8,148.43,0.0,8.213523131672599,4.241150442477876,51,329,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,227.0,1899.0,104.0,889.0,7,8,0.469,418,362,56,16,5868,1086,5.4,28,11,368,383,646,4136,28,17,6.0,229,399,1732,20,4.3,97,35.0,14.2,-25.79,0.0,6.402476780185759,4.340852130325815,48,326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,240.0,2008.0,111.0,880.0,8,8,0.5,295,361,-66,16,5026,1060,4.7,25,7,310,339,598,3640,21,18,5.6,200,410,1386,6,3.4,66,29.2,12.4,-185.97,0.0,6.086956521739131,3.3804878048780487,27,266,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,201.0,1576.0,101.0,786.0,3,13,0.188,225,425,-200,16,3865,902,4.3,28,10,239,283,495,2523,15,18,4.6,137,355,1342,9,3.8,76,19.3,15.0,-155.06,0.0,5.096969696969697,3.780281690140845,24,213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,235.0,1997.0,121.0,956.0,5,10,0.344,361,442,-81,16,5467,1000,5.5,18,6,314,355,554,3477,20,12,5.8,176,396,1990,18,5.0,109,38.8,10.1,64.36,0.0,6.276173285198556,5.025252525252525,38,285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,217.0,1719.0,113.0,878.0,8,8,0.5,410,367,43,16,6153,1083,5.7,21,8,381,387,575,3916,27,13,6.5,211,479,2237,22,4.7,136,40.2,11.7,103.62,0.0,6.810434782608696,4.670146137787056,49,347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,204.0,1810.0,108.0,944.0,11,6,0.647,449,366,83,17,6352,1126,5.6,15,4,367,415,591,4276,27,11,6.8,214,496,2076,23,4.2,127,44.7,7.8,119.94,0.0,7.235194585448393,4.185483870967742,50,341,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,203.0,1613.0,111.0,866.0,4,13,0.235,340,449,-109,17,5499,1144,4.8,25,8,326,433,664,3626,17,17,5.1,189,434,1873,15,4.3,115,32.1,12.8,-36.27,0.0,5.460843373493976,4.315668202764977,32,304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,208.51344873022464,1724.7145257742804,102.80724002824296,888.864104942242,4,13,0.235,330,455,-125,17,5509,1068,5.2,18,6,330,355,555,3144,18,12,5.3,173,471,2365,17,5.0,127,35.0,9.4,-2.99,0.0,5.664864864864865,5.021231422505308,35,300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2003,206.54029226293252,1762.7464512607046,97.65178449322757,877.470633179015,5,11,0.313,299,422,-123,16,4357,930,4.7,31,10,252,230,460,2408,14,21,4.9,127,435,1949,17,4.5,99,24.9,12.9,-190.61,0.0,5.234782608695652,4.480459770114942,31,226,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,200.6179520024521,1710.620509437503,100.07319424542385,863.6629926184565,11,5,0.688,340,337,3,16,5084,969,5.2,30,14,284,217,395,2412,15,16,5.4,120,524,2672,20,5.1,133,28.8,15.8,-108.92,0.0,6.10632911392405,5.099236641221374,35,253,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,206.39796841344005,1676.6720798302858,99.91945205141087,777.9185833183308,8,8,0.5,351,341,10,16,5225,1021,5.1,29,16,313,247,451,2679,19,13,5.5,149,531,2546,17,4.8,139,31.6,13.2,-80.52,0.0,5.940133037694014,4.7947269303201505,36,288,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,199.9930146040655,1773.4560170077611,96.28204195740474,854.1778980424881,7,9,0.438,292,328,-36,16,5310,1000,5.3,20,5,287,222,416,2371,21,15,5.1,133,537,2939,9,5.5,134,28.8,10.9,-100.14,0.0,5.699519230769231,5.472998137802607,30,267,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,199.21056462388668,1691.1826002445575,96.87244697173529,858.9598687949252,4,12,0.25,259,414,-155,16,4813,987,4.9,24,9,248,336,555,3293,18,15,5.5,161,385,1520,7,3.9,73,26.3,12.4,-199.45,0.0,5.933333333333334,3.948051948051948,25,234,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,201.72094239763126,1601.6597808987651,114.72428063500361,859.1704130015222,11,5,0.688,391,325,66,16,5779,1011,5.7,21,10,313,265,434,3336,16,11,7.4,157,560,2443,23,4.4,131,39.7,10.3,-18.27,0.0,7.686635944700461,4.3625,39,288,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,188.0,1557.0,78.0,664.0,9,7,0.563,363,325,38,16,5447,1048,5.2,25,8,330,332,570,3571,26,17,6.0,192,451,1876,15,4.2,105,35.3,13.5,-77.35,0.0,6.264912280701754,4.159645232815964,41,297,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,174.0,1601.0,58.0,598.0,13,3,0.813,414,288,126,16,5458,1097,5.0,17,8,353,361,577,3567,28,9,5.9,200,497,1891,14,3.8,111,39.3,9.0,-39.55,0.0,6.181975736568457,3.8048289738430583,42,311,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,194.0,1612.0,94.0,784.0,10,6,0.625,402,350,52,16,6026,1073,5.6,21,8,349,365,594,4192,29,13,6.8,215,453,1834,14,4.0,100,37.4,10.7,-22.37,0.0,7.057239057239057,4.048565121412803,43,315,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,138.0,1056.0,55.0,415.0,13,3,0.813,419,299,120,16,5906,1021,5.8,18,4,343,422,615,4509,32,14,7.0,247,378,1397,12,3.7,70,44.0,10.3,-18.12,0.0,7.331707317073171,3.695767195767196,44,317,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,195.0,1673.0,91.0,788.0,4,12,0.25,353,443,-90,16,5490,1024,5.4,28,11,330,445,659,4243,26,17,6.0,227,321,1247,11,3.9,64,34.1,14.5,48.53,0.0,6.4385432473444615,3.884735202492212,37,291,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,188.0,1584.0,97.0,840.0,6,10,0.375,381,417,-36,16,6051,1035,5.8,23,8,330,418,632,4553,28,15,6.9,233,372,1498,11,4.0,75,38.9,13.1,61.55,0.0,7.204113924050633,4.026881720430108,39,308,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,195.0,1697.0,100.0,969.0,8,8,0.5,339,345,-6,16,5985,1073,5.6,30,13,359,410,621,4379,21,17,6.7,230,420,1606,13,3.8,95,34.5,17.2,52.68,0.0,7.051529790660226,3.823809523809524,34,325,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,217.0,1822.0,104.0,848.0,11,5,0.688,540,406,134,16,6653,995,6.7,11,4,379,374,537,4725,38,7,8.2,239,421,1928,20,4.6,108,52.6,6.3,212.07,0.0,8.798882681564246,4.57957244655582,58,347,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,205.0,1798.0,102.0,918.0,10,6,0.625,353,315,38,16,5837,984,5.9,18,6,330,343,530,3990,21,12,7.2,200,430,1847,12,4.3,101,41.2,10.3,-46.05,0.0,7.528301886792453,4.2953488372093025,33,301,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,209.0,1900.0,101.0,899.0,7,9,0.438,414,423,-9,16,6226,1010,6.2,18,11,352,428,617,4653,36,7,7.1,238,351,1573,11,4.5,84,42.9,10.7,155.08,0.0,7.541329011345219,4.481481481481482,47,322,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,246.0,2036.0,119.0,956.0,7,9,0.438,381,399,-18,16,6075,1096,5.5,25,10,383,459,684,4714,29,15,6.4,258,362,1361,10,3.8,84,40.8,13.2,95.51,0.0,6.891812865497076,3.7596685082872927,39,342,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,174.0,1536.0,83.0,736.0,4,12,0.25,396,414,-18,16,5895,1078,5.5,18,7,366,408,628,4363,27,11,6.5,243,409,1532,13,3.7,86,44.8,10.3,129.77,0.0,6.947452229299363,3.745721271393643,40,329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,201.0,1623.0,87.0,707.0,7,10,0.412,313,459,-146,17,5164,1006,5.1,26,11,306,377,573,3713,20,15,6.1,196,393,1451,11,3.7,75,32.8,14.7,-18.38,0.0,6.479930191972077,3.6921119592875318,31,271,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,163.0,1350.0,66.0,576.0,7,10,0.412,365,386,-21,17,5417,1011,5.4,21,12,330,257,415,2699,17,9,6.0,148,559,2718,17,4.9,152,39.5,11.4,73.69,0.0,6.5036144578313255,4.862254025044723,34,300,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,189.62797197334393,1599.1667532700208,100.69009361236496,887.3220803048529,7,10,0.412,321,373,-52,17,5683,1092,5.2,28,11,326,327,530,3524,17,17,6.2,181,522,2159,14,4.1,121,32.1,14.3,-32.52,0.0,6.649056603773585,4.136015325670498,31,302,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2003,192.72275415149082,1609.112521073568,97.65496238863422,795.4494441893223,10,6,0.625,391,281,110,16,4929,1009,4.9,38,19,259,217,415,2255,16,19,4.9,121,552,2674,18,4.8,115,31.8,16.6,-220.5,0.0,5.433734939759036,4.844202898550725,34,236,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,200.12194156824134,1710.3949238891214,101.08516744395834,850.4172746224427,9,7,0.563,317,268,49,16,4375,991,4.4,23,12,260,258,465,2312,13,11,4.6,135,491,2063,11,4.2,103,27.6,10.9,-199.99,0.0,4.972043010752688,4.20162932790224,24,238,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,195.99524052208434,1610.44650655067,102.22424107297503,857.4987726850147,6,10,0.375,265,299,-34,16,4693,1056,4.4,36,15,286,335,562,3088,17,21,5.1,163,452,1605,5,3.6,97,27.2,18.3,-237.85,0.0,5.494661921708185,3.5508849557522124,22,260,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,204.06256249809158,1684.4144873309315,102.68167302323381,875.1577590211011,13,3,0.813,353,201,152,16,5072,1017,5.0,23,9,282,328,524,3435,21,14,6.3,179,476,1637,11,3.4,86,31.3,11.5,-170.15,0.0,6.555343511450381,3.439075630252101,32,265,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,199.77552445413588,1660.6788759056801,102.94884629653069,865.5384891505637,5,11,0.313,275,384,-109,16,4832,1042,4.6,40,26,291,341,557,3035,13,14,5.1,175,446,1797,11,4.0,96,27.4,18.3,-231.17,0.0,5.448833034111311,4.0291479820627805,24,271,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,192.63768255118407,1675.2073053371385,101.39977392234684,925.4929225525258,11,5,0.688,385,244,141,16,5184,1058,4.9,21,9,300,261,433,2808,16,12,6.0,147,592,2376,20,4.0,132,33.0,10.8,-196.15,0.0,6.484988452655889,4.013513513513513,36,279,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,203.0,1835.0,115.0,1094.0,9,7,0.563,391,261,130,16,5619,1014,5.5,22,9,320,321,510,3419,21,13,6.3,187,468,2200,22,4.7,115,35.0,10.9,-66.23,0.0,6.703921568627451,4.700854700854701,43,302,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,206.0,1657.0,90.0,673.0,12,4,0.75,357,270,87,16,5166,1018,5.1,20,10,303,308,491,3335,25,10,6.3,175,487,1831,11,3.8,97,32.8,9.5,-79.88,0.0,6.7922606924643585,3.759753593429158,36,272,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,194.0,1759.0,92.0,742.0,12,4,0.75,378,266,112,16,5419,1036,5.2,24,12,312,314,544,3423,21,12,5.9,181,459,1996,15,4.3,98,35.5,11.8,-72.94,0.0,6.292279411764706,4.348583877995643,36,279,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,228.0,2056.0,121.0,1127.0,10,6,0.625,398,344,54,16,5640,1042,5.4,16,5,314,334,560,3739,22,11,6.3,182,444,1901,17,4.3,98,35.8,7.8,22.03,1.0,6.676785714285714,4.281531531531532,39,280,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,238.0,2138.0,112.0,942.0,8,8,0.5,320,352,-32,16,4918,1090,4.5,29,6,295,363,619,3590,19,23,5.4,189,423,1328,7,3.1,68,30.9,13.5,-95.39,0.0,5.79967689822294,3.1394799054373523,26,257,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,221.0,1877.0,111.0,870.0,10,6,0.625,409,302,107,16,5838,1021,5.7,20,8,345,344,554,3819,27,12,6.7,194,448,2019,16,4.5,113,39.6,9.9,135.24,0.0,6.893501805054152,4.506696428571429,43,307,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,225.0,1901.0,122.0,1153.0,5,11,0.313,328,401,-73,16,5749,1083,5.3,28,7,323,426,676,4271,21,21,6.1,211,383,1478,8,3.9,89,33.3,14.0,-47.16,0.0,6.318047337278107,3.8590078328981723,29,300,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,219.0,2011.0,125.0,1111.0,8,8,0.5,343,321,22,16,5563,1079,5.2,23,7,316,439,679,4100,20,16,5.8,205,367,1463,10,4.0,79,35.6,10.5,-86.39,0.0,6.0382916053019144,3.9863760217983653,30,284,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,187.0,1556.0,91.0,749.0,9,7,0.563,395,303,92,16,4886,1054,4.6,17,4,311,363,567,3030,20,13,5.1,168,460,1856,14,4.0,111,36.5,8.9,-132.06,0.0,5.343915343915344,4.034782608695652,34,279,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,229.0,1957.0,116.0,940.0,10,6,0.625,389,287,102,16,5999,1135,5.3,20,11,367,334,556,3558,18,9,6.1,184,547,2441,19,4.5,153,40.7,10.7,72.85,0.0,6.399280575539568,4.462522851919561,37,337,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,206.0,1662.0,109.0,867.0,14,2,0.875,531,282,249,16,6521,1064,6.1,15,7,386,289,440,3225,37,8,6.9,171,596,3296,21,5.5,188,51.8,8.4,239.99,0.0,7.329545454545454,5.530201342281879,58,359,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,181.0,1607.0,104.0,961.0,11,5,0.688,468,303,165,16,5810,993,5.9,18,7,327,257,406,2739,27,11,6.3,142,555,3071,24,5.5,166,45.3,10.6,148.3,0.0,6.746305418719212,5.533333333333333,51,308,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,193.0,1682.0,101.0,843.0,8,9,0.471,387,392,-5,17,6440,1185,5.4,26,8,394,396,611,3961,21,18,5.9,209,517,2479,18,4.8,159,38.5,13.3,59.67,0.0,6.482815057283142,4.794970986460348,39,368,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,153.0,1271.0,77.0,656.0,10,7,0.588,350,315,35,17,5760,1052,5.5,21,8,337,300,488,3040,19,13,5.8,149,526,2720,14,5.2,167,38.9,11.7,48.17,0.0,6.229508196721311,5.171102661596958,33,316,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,211.54960546929175,1730.5290258734958,101.8590417116248,795.4369096741473,13,4,0.765,483,280,203,17,6296,1076,5.9,19,12,360,328,494,3635,27,7,6.8,180,541,2661,26,4.9,145,43.1,9.6,130.64,0.0,7.3582995951417,4.918669131238447,53,325,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2003,203.19555416490365,1659.7144573539092,100.68720211930686,848.6735835496058,6,10,0.375,243,279,-36,16,4348,980,4.4,34,17,268,293,502,2684,11,17,4.9,150,427,1664,13,3.9,96,21.9,17.6,-230.07,0.0,5.346613545816733,3.8969555035128804,24,246,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,201.58405396829818,1667.194660392018,102.5524826307475,860.4034643839764,9,7,0.563,395,284,111,16,4691,982,4.8,29,12,271,262,461,2817,21,17,5.6,149,483,1874,15,3.9,102,32.1,14.4,-194.58,0.0,6.110629067245119,3.87991718426501,36,251,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,193.35333395652597,1631.7128122460758,90.5955506421625,734.9030043147237,5,11,0.313,271,367,-96,16,4122,930,4.4,26,10,259,269,459,2515,18,16,5.0,129,428,1607,6,3.8,96,29.9,14.1,-230.91,0.0,5.4793028322440085,3.7546728971962615,24,225,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,199.79525262209253,1754.477294992861,92.16789500716054,837.7207917990627,7,9,0.438,300,311,-11,16,4271,898,4.8,29,15,234,268,431,2719,19,14,5.7,132,420,1552,9,3.7,82,27.4,15.1,-160.68,0.0,6.3085846867749416,3.6952380952380954,28,214,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
